S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE % ,Profit Var 5Yrs %,Sales Var 3Yrs %,Profit Var 3Yrs %
1,Nestle India,1193.6,72.4,230163.6,1.13,1018.06,26.6,5667.04,18.56,95.66,9.48,11.08,10.57
2,Waaree Renewab.,850.25,21.13,8872,0.12,120.2,124.67,851.06,136.18,82.31,142.51,114.67,197.14
3,Esab India,5406,42.53,8321.47,1.2,43,29.62,378.83,12.25,70.03,19.74,15.29,27.78
4,Billionbrains,161.46,62.75,101293.49,0,546.93,-27.76,1216.07,24.78,62.57,,111.84,112.67
5,Anand Rathi Wea.,3003.4,68.11,24934.42,0.35,100.19,29.66,289.62,22.18,56.26,37.33,32.2,33.46
6,Cams Services,640.7,35.76,15882.2,1.94,121.98,3.53,366.97,5.59,54.75,21.96,15.59,14.61
7,GE Vernova T&D,3678.9,84.29,94198.23,0.14,290.8,138.53,1700.64,58.4,54.74,34.77,11.87,81.02
8,I R C T C,522.85,30.25,41828,1.63,394.49,13.29,1449.47,18.36,49.03,20.04,35.51,24.57
9,BSE,2806.1,52.39,114292.19,0.21,596.59,175.79,1244.1,61.97,46.57,65.43,56.33,70.47
10,Prudent Corp.,2236.6,43.14,9261.02,0.11,57.63,19.59,343.19,20.4,44.06,47.65,35.24,34.53
11,HDFC AMC,2385.9,35.55,102212,1.89,770.09,20.05,1074.25,14.97,43.33,14.28,18.58,20.89
12,Multi Comm. Exc.,2414.5,65.69,61567.78,0.25,401.12,150.64,665.62,120.86,42.86,25.43,44.76,51.61
13,C D S L,1190.8,52.26,24887.72,1.05,132.95,2.48,304.36,9.43,41.96,37.81,25.21,19.22
14,Triveni Turbine,456.15,41.13,14500.64,0.88,91.7,11.43,624,23.96,41.36,23.36,33.02,42.6
15,Pace Digitek,164.36,14.12,3547.73,0,78.78,8.06,643.97,13.54,41.31,,81.83,191.08
16,Nippon Life Ind.,838.9,37.05,53467.74,2.15,403.9,36.75,705.28,19.97,40.69,25.38,17.98,20.02
17,Action Const.Eq.,829.15,23.36,9873.78,0.24,116.41,4.24,854.63,-2.34,40.11,51.12,26.86,57.26
18,KPIT Technologi.,660.95,23.81,18119.53,1.29,133.41,-6.28,1617.46,9.44,40.03,39.82,33.92,43.2
19,Bharat Electron,426.1,52.23,311469.68,0.56,1579.7,20.45,7153.85,23.97,38.88,23.8,15.65,30.36
20,Solar Industries,12934,80.6,117039.84,0.08,466.54,41.73,2548.32,29.15,38.13,36.25,24.07,41.63
21,CG Power & Ind,681.6,96.47,107346.38,0.19,283.91,18.42,3175.35,26.22,37.48,33.57,21.8,10.99
22,Garden Reach Sh.,2280.8,37.92,26127.02,0.61,170.77,73.92,1895.69,49.15,36.64,25.45,42.49,42.06
23,Cummins India,4615.3,54.93,127936.12,1.12,486.06,4.41,3054.92,-1.33,36.32,22.45,18.97,34.86
24,Tata Elxsi,4237.7,41.85,26399.47,1.77,108.89,-19.99,953.47,1.52,36.26,24.68,14.71,12.67
25,Aditya AMC,944.65,26.8,27282.08,2.54,269.52,21.01,478.08,7.41,35.51,13.48,12.15,11.42
26,Indiamart Inter.,1994.4,19.8,11983.78,1.5,188.3,55.62,401.6,13.35,34.24,29.09,22.6,21.08
27,BLS Internat.,240.6,15.38,9906.49,0.83,170.22,34.81,736.46,43.6,33.62,45.73,37.17,65.4
28,NBCC,83.91,34.12,22655.7,0.8,197.22,-2.79,3022.39,7.59,33.17,51.02,16.11,29.6
29,Natco Pharma,959.2,11.03,17180.22,0.63,151.3,13.91,647.3,36.33,32.78,33.27,31.57,139.37
30,KFin Technolog.,914.55,44.65,15778.19,0.82,91.99,8.39,370.87,27.88,32.75,134.47,19.48,28.93
31,Apar Inds.,9673,39.18,38854.81,0.53,208.93,29.8,5479.73,16.18,32.7,43.37,25.87,48.21
32,Suzlon Energy,41.95,17.66,57070.59,0,445.28,15.08,4236.09,42.4,32.52,22.93,18.27,194.64
33,Netweb Technol.,3284.4,105.17,18701.6,0.08,73.31,146.67,804.93,141,32.45,96.32,66.93,71.9
34,Corona Remedies,1650.5,63.39,10094.47,0,41.25,21.58,342.42,15.03,31.47,20.43,24.68,538.17
35,Balu Forge,437.75,20.77,5313.93,0.03,71.09,20.47,311.11,21.63,31.26,,47.8,89.41
36,Authum Invest,492.2,11.48,41798.88,0.04,168.02,-69.18,446.21,-27.76,30.85,208.59,71.39,85.2
37,Kingfa Science,4073.3,32.86,5519.88,0,45.17,30.44,489.46,11.15,30.55,44.08,18.52,47.72
38,Persistent Systems,4716.7,41.37,74405.94,0.74,439.45,35.75,3778.21,23.38,30.44,32.77,27.87,27
39,TD Power Systems,863.25,61.41,13485.25,0.14,56.32,25.35,442.68,26.36,30.35,55.63,17.05,39.23
